n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,ID,Predicted_MC,Old1
43,8,6,0,-459,0,9,-459,0
44,15,6,0,-429,0,9,-429,0
46,40,4,0,488,0,9,-403,0
47,27,5,0,-427,0,9,-427,0
48,28,5,1,492,0,9,492,0
1,65,6,1,-407,1,9,493,0
2,92,6,0,-463,1,9,-455,0
3,68,6,0,-403,1,9,-421,0
4,40,6,0,-410,1,9,-410,0
5,62,6,0,-485,1,9,-485,0
7,34,6,0,-409,1,9,-409,0
8,83,6,1,487,1,9,456,0
9,38,6,0,-436,1,9,-436,0
11,7,6,1,452,1,9,452,0
12,42,6,1,448,1,9,448,0
13,39,6,1,417,1,9,417,0
14,76,6,1,-478,1,9,485,0
15,91,6,1,-444,1,9,419,0
17,89,6,1,-410,1,9,451,0
18,43,6,1,420,1,9,420,0
19,26,6,0,-435,1,9,-435,0
20,67,6,0,-487,1,9,-487,0
21,72,6,0,-471,1,9,-471,0
22,63,6,0,-488,1,9,-415,0
24,83,6,0,-494,1,9,-463,0
25,97,6,0,439,1,9,-453,0
27,14,6,1,485,1,9,485,0
28,64,6,1,402,1,9,402,0
29,58,6,1,-432,1,9,459,0
30,47,6,0,479,1,9,-497,0
32,62,6,1,468,1,9,416,0
33,58,6,1,437,1,9,483,0
34,43,6,1,410,1,9,410,0
35,69,6,0,-428,1,9,-466,0
36,92,6,1,407,1,9,437,0
37,12,6,1,402,1,9,402,0
